time,CE Model,CE & ET Model
2005.0,8.843948423487378,7.137751846899823
2005.5,8.962037573742746,7.230677492024531
2006.0,9.081525558529675,7.324745610434877
2006.5,9.20241770904438,7.419967997845493
2007.0,9.324719226017905,7.516356868416993
2007.5,9.448435201468438,7.613924701746136
2008.0,9.573570645746306,7.712683901141346
2008.5,9.700130501059972,7.81264653537249
2009.0,9.82811963645746,7.913824204900625
2009.5,9.957542826046847,8.01622800625013
2010.0,10.088404716828192,8.119868556908527
2010.5,10.220709791768732,8.224756049993447
2011.0,10.35446220016542,8.33090031818517
2011.5,10.489665612846954,8.438310895110993
2012.0,10.62632313804485,8.546997068479202
2012.5,10.764437301960346,8.656967923021133
2013.0,10.904010054504054,8.768232373195426
2013.5,11.045042781271306,8.880799192291516
2014.0,11.187536320088364,8.99467704084718
2014.5,11.331490980708107,9.109874484975004
2015.0,11.476906566399325,9.226400002709857
2015.5,11.623782390695077,9.344261979560487
2016.0,11.772117294416725,9.463468696259936
2016.5,11.921909662691741,9.584028314991636
2017.0,12.073155589078528,9.70594887939332
2017.5,12.225844094802769,9.829238317314665
2018.0,12.38011285563102,9.953904438927172
2018.5,12.538134257516914,10.079954925311219
2019.0,12.702246628561067,10.20739730540753
2019.5,12.874213430799527,10.33623892452737
2020.0,13.055044802046261,10.466486913229136
2020.5,13.245070733346017,10.598148161059108
2021.0,13.444102977133902,10.731229307714052
2021.5,13.651606284407253,10.865736675375333
2022.0,13.866845141203981,11.001675878772287
2022.5,14.088995752443456,11.13905157230608
2023.0,14.31722425452018,11.277867415649116
2023.5,14.550736697969684,11.418125932599635
2024.0,14.788807461810816,11.559828220424048
2024.5,15.030792278477184,11.702973686734296
2025.0,15.276130970425971,11.847559880363054
2025.5,15.524343798622342,11.993582428439602
2026.0,15.775024261687523,12.1410350678498
2026.5,16.027825099196612,12.289909751019062
2027.0,16.283778065201705,12.440794166809715
2027.5,16.545073516084656,12.595868986487519
2028.0,16.81366977588384,12.757321826626388
2028.5,17.09081007043501,12.926741761555405
2029.0,17.37697419930656,13.104997113172272
2029.5,17.672010224144483,13.292324787600466
2030.0,17.97531639093099,13.488489858061467
2030.5,18.28601305080123,13.69294746854285
2031.0,18.6030814848459,13.904978937365875
2031.5,18.925465193835905,14.123794312914775
2032.0,19.252139277747325,14.348603225990178
2032.5,19.582153427606503,14.578659623874914
2033.0,19.914653112925773,14.81328288458415
2033.5,20.24888610898177,15.051866356977945
2034.0,20.584200999043013,15.293881396347134
2034.5,20.920038960164973,15.538877873566523
2035.0,21.255922609354197,15.786481413628433
2035.5,21.592668791405142,16.036388198228494
2036.0,21.938480096266968,16.28962619043956
2036.5,22.301683664280816,16.548482752620124
2037.0,22.68797914356268,16.81507341601475
2037.5,23.09989901687714,17.090833606398846
2038.0,23.537229176976755,17.376454373111937
2038.5,23.9977415329705,17.67200298738057
2039.0,24.47792956551711,17.977097668470392
2039.5,24.9736208336504,18.291074833615813
2040.0,25.480433994847747,18.613124833775938
2040.5,25.99409705053551,18.94239107501335
2041.0,26.510647294551433,19.278036011357745
2041.5,27.02654272157787,19.619280573702707
2042.0,27.538709793741795,19.965423950300213
2042.5,28.044547019479214,20.31584965217729
2043.0,28.541900552032732,20.67001145649696
2043.5,29.029022635900958,21.0273979328161
2044.0,29.50452324150778,21.389316113703277
2044.5,29.967368036507853,21.76539878457941
2045.0,30.41684793510552,22.16553932064927
2045.5,30.852523474117284,22.59678796421905
2046.0,31.274165884933243,23.062700284740817
2046.5,31.681704546622345,23.563761283710427
2047.0,32.07518351769118,24.098172563999228
2047.5,32.45472794340227,24.662654925680666
2048.0,32.820519319012476,25.253124029939993
2048.5,33.17265861551403,25.86519741299099
2049.0,33.51105339260655,26.49454074225665
2049.5,33.83427475652434,27.137082846367544
2050.0,34.14051136152148,27.789132723711447
2050.5,34.42836963712901,28.44743433446863
2051.0,34.697194930556826,29.109168233667404
2051.5,34.947097714241195,29.77192725449068
