variable,persistent pollution index,population,food per capita,industrial output,resources_total,persistent pollution index,population,food per capita,industrial output,resources_energy,resources_material
model,Base Model,Base Model,Base Model,Base Model,Base Model,CE & ET Model,CE & ET Model,CE & ET Model,CE & ET Model,CE & ET Model,CE & ET Model
time,,,,,,,,,,,
1937.0,0.31238658115048307,2196941120.179058,349.81684384039374,241546569882.92056,0.9788114715528708,0.241856566673597,2088219390.5289533,327.56281421097725,190788425227.3256,0.9865031908889034,0.9818406352742088
1937.5,0.3176549314119061,2207634400.68796,351.4774700501574,245885317446.93335,0.9782981850918696,0.24513435618698623,2097227950.4255683,328.9871566783038,194160147595.63,0.9861608584707322,0.9814349183995636
1938.0,0.32302724854772275,2218451075.472541,353.1560315627517,250306233927.42386,0.9777756787922949,0.24851351356970705,2106333748.831247,330.4280845674797,197593989448.97128,0.985809672930497,0.9810222383755214
1938.5,0.3285048605932223,2229393674.119994,354.8525185843944,254810847324.79993,0.9772437780451991,0.25199680945581937,2115538878.3358328,331.88567093647174,201091191521.20398,0.9854494590735455,0.980602460724903
1939.0,0.33408914882066876,2240464757.9254994,356.566913288067,259400711381.58,0.976702304994634,0.25558695907044354,2124845469.7479491,333.3599755269665,204653007682.01828,0.9850800393030155,0.9801754492807786
1939.5,0.33978154736029115,2251666920.312534,358.29918962170456,264077405905.48682,0.976151078482948,0.2592866145319691,2134255682.7422445,334.8510474056745,208280705810.48657,0.9847012335522801,0.9797410657542039
1940.0,0.34558354280800296,2263002787.2795253,360.0440255106611,268842537089.34692,0.9755899139953988,0.2630983593082632,2143771699.3680825,336.3589265910607,211975568655.9994,0.9843128592173974,0.9792991750639596
1940.5,0.35149667382544797,2274474642.938501,361.79266181849357,273697618896.6766,0.975018623604084,0.267024704605978,2153395719.7318196,337.8836451001293,215738894661.1746,0.983914731089135,0.9788496328234487
1941.0,0.3575225307372275,2294783099.526662,362.1750495668399,278643990798.53644,0.9744370161639286,0.27106808747376154,2170678831.8809347,338.2448237298034,219573078347.98328,0.9835067342203012,0.9783922922457456
1941.5,0.36366275512946916,2314951374.0029182,362.83310423767756,283657966442.8855,0.9738448976834817,0.275230870300788,2187845155.1631823,338.837416442275,223462472208.7538,0.9830889462260868,0.977927001681059
1942.0,0.36991903837252776,2335050202.2914987,363.6197387218788,288747393685.1363,0.9732421245047905,0.27951534167826025,2204962152.181004,339.5503209734332,227411869798.1892,0.982661405359348,0.9774536429449028
1942.5,0.3762931176935317,2355131219.205029,364.47371714854046,293916744401.9237,0.9726285362932096,0.28392371523169024,2222079050.00977,340.329987137935,231428139023.33057,0.9822240978076481,0.9769720878734984
